"DateTime","Бельгия"
2020-01-22 00:00:00,0
2020-01-23 00:00:00,0
2020-01-24 00:00:00,0
2020-01-25 00:00:00,0
2020-01-26 00:00:00,0
2020-01-27 00:00:00,0
2020-01-28 00:00:00,0
2020-01-29 00:00:00,0
2020-01-30 00:00:00,0
2020-01-31 00:00:00,0
2020-02-01 00:00:00,0
2020-02-02 00:00:00,0
2020-02-03 00:00:00,0
2020-02-04 00:00:00,1
2020-02-05 00:00:00,0
2020-02-06 00:00:00,0
2020-02-07 00:00:00,0
2020-02-08 00:00:00,0
2020-02-09 00:00:00,0
2020-02-10 00:00:00,0
2020-02-11 00:00:00,0
2020-02-12 00:00:00,0
2020-02-13 00:00:00,0
2020-02-14 00:00:00,0
2020-02-15 00:00:00,0
2020-02-16 00:00:00,0
2020-02-17 00:00:00,0
2020-02-18 00:00:00,0
2020-02-19 00:00:00,0
2020-02-20 00:00:00,0
2020-02-21 00:00:00,0
2020-02-22 00:00:00,0
2020-02-23 00:00:00,0
2020-02-24 00:00:00,0
2020-02-25 00:00:00,0
2020-02-26 00:00:00,0
2020-02-27 00:00:00,0
2020-02-28 00:00:00,0
2020-02-29 00:00:00,0
2020-03-01 00:00:00,1
2020-03-02 00:00:00,6
2020-03-03 00:00:00,5
2020-03-04 00:00:00,10
2020-03-05 00:00:00,27
2020-03-06 00:00:00,59
2020-03-07 00:00:00,60
2020-03-08 00:00:00,31
2020-03-09 00:00:00,39
2020-03-10 00:00:00,28
2020-03-11 00:00:00,47
2020-03-12 00:00:00,0
2020-03-13 00:00:00,245
2020-03-14 00:00:00,130
2020-03-15 00:00:00,197
2020-03-16 00:00:00,172
2020-03-17 00:00:00,185
2020-03-18 00:00:00,243
2020-03-19 00:00:00,309
2020-03-20 00:00:00,462
2020-03-21 00:00:00,558
2020-03-22 00:00:00,586
2020-03-23 00:00:00,342
2020-03-24 00:00:00,526
2020-03-25 00:00:00,668
2020-03-26 00:00:00,1298
2020-03-27 00:00:00,1049
2020-03-28 00:00:00,1850
2020-03-29 00:00:00,1702
2020-03-30 00:00:00,1063
2020-03-31 00:00:00,876
2020-04-01 00:00:00,1189
2020-04-02 00:00:00,1384
2020-04-03 00:00:00,1422
2020-04-04 00:00:00,1661
2020-04-05 00:00:00,1260
2020-04-06 00:00:00,1123
2020-04-07 00:00:00,1380
2020-04-08 00:00:00,1209
2020-04-09 00:00:00,1580
2020-04-10 00:00:00,1684
2020-04-11 00:00:00,1351
2020-04-12 00:00:00,1629
2020-04-13 00:00:00,942
2020-04-14 00:00:00,530
2020-04-15 00:00:00,2454
2020-04-16 00:00:00,1236
2020-04-17 00:00:00,1329
2020-04-18 00:00:00,1045
2020-04-19 00:00:00,1313
2020-04-20 00:00:00,1487
2020-04-21 00:00:00,973
2020-04-22 00:00:00,933
2020-04-23 00:00:00,908
