"DateTime","Санкт-Петербург"
2020-03-12 00:00:00,1
2020-03-13 00:00:00,3
2020-03-14 00:00:00,1
2020-03-15 00:00:00,0
2020-03-16 00:00:00,3
2020-03-17 00:00:00,1
2020-03-18 00:00:00,0
2020-03-19 00:00:00,1
2020-03-20 00:00:00,4
2020-03-21 00:00:00,2
2020-03-22 00:00:00,0
2020-03-23 00:00:00,0
2020-03-24 00:00:00,5
2020-03-25 00:00:00,0
2020-03-26 00:00:00,5
2020-03-27 00:00:00,0
2020-03-28 00:00:00,11
2020-03-29 00:00:00,5
2020-03-30 00:00:00,8
2020-03-31 00:00:00,48
2020-04-01 00:00:00,27
2020-04-02 00:00:00,22
2020-04-03 00:00:00,9
2020-04-04 00:00:00,15
2020-04-05 00:00:00,20
2020-04-06 00:00:00,35
2020-04-07 00:00:00,69
2020-04-08 00:00:00,34
2020-04-09 00:00:00,44
2020-04-10 00:00:00,35
2020-04-11 00:00:00,80
2020-04-12 00:00:00,69
2020-04-13 00:00:00,121
2020-04-14 00:00:00,121
2020-04-15 00:00:00,130
2020-04-16 00:00:00,154
2020-04-17 00:00:00,424
2020-04-18 00:00:00,139
2020-04-19 00:00:00,114
2020-04-20 00:00:00,86
2020-04-21 00:00:00,127
2020-04-22 00:00:00,294
2020-04-23 00:00:00,191
2020-04-24 00:00:00,253
2020-04-25 00:00:00,215
2020-04-26 00:00:00,151
2020-04-27 00:00:00,161
2020-04-28 00:00:00,198
2020-04-29 00:00:00,290
2020-04-30 00:00:00,336
2020-05-01 00:00:00,349
2020-05-02 00:00:00,323
2020-05-03 00:00:00,295
2020-05-04 00:00:00,317
2020-05-05 00:00:00,226
2020-05-06 00:00:00,312
2020-05-07 00:00:00,306
2020-05-08 00:00:00,375
2020-05-09 00:00:00,425
2020-05-10 00:00:00,414
2020-05-11 00:00:00,307
2020-05-12 00:00:00,339
2020-05-13 00:00:00,435
2020-05-14 00:00:00,460
2020-05-15 00:00:00,541
2020-05-16 00:00:00,525
2020-05-17 00:00:00,451
2020-05-18 00:00:00,425
2020-05-19 00:00:00,453
2020-05-20 00:00:00,455
2020-05-21 00:00:00,408
2020-05-22 00:00:00,389
2020-05-23 00:00:00,363
2020-05-24 00:00:00,384
2020-05-25 00:00:00,374
2020-05-26 00:00:00,363
2020-05-27 00:00:00,387
2020-05-28 00:00:00,383
2020-05-29 00:00:00,369
2020-05-30 00:00:00,365
2020-05-31 00:00:00,369
2020-06-01 00:00:00,364
2020-06-02 00:00:00,376
2020-06-03 00:00:00,380
2020-06-04 00:00:00,375
2020-06-05 00:00:00,378
2020-06-06 00:00:00,347
2020-06-07 00:00:00,340
2020-06-08 00:00:00,326
2020-06-09 00:00:00,318
2020-06-10 00:00:00,313
2020-06-11 00:00:00,303
2020-06-12 00:00:00,274
2020-06-13 00:00:00,262
2020-06-14 00:00:00,256
2020-06-15 00:00:00,252
2020-06-16 00:00:00,234
2020-06-17 00:00:00,228
2020-06-18 00:00:00,231
2020-06-19 00:00:00,228
2020-06-20 00:00:00,232
2020-06-21 00:00:00,229
2020-06-22 00:00:00,217
2020-06-23 00:00:00,220
2020-06-24 00:00:00,218
2020-06-25 00:00:00,221
2020-06-26 00:00:00,223
